ID,TYPE,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI
0,K014,2.106.711,41.402.393,BUS -130--,Sarrià
1,K014,2.177.905,41.450.021,BUS -127--,les Roquetes
2,K014,2.174.522,41.449.141,BUS -127--,les Roquetes
3,K014,2.114.803,41.377.203,BUS -54-157-D20-H8--,la Maternitat i Sant Ramon
4,K014,2.103.723,41.414.101,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
5,K014,2.180.171,41.445.976,BUS -60-76-127--,la Prosperitat
6,K014,2.153.442,41.375.762,BUS -55--,Sant Antoni
7,K014,2.180.552,41.456.095,BUS -180--,Torre Baró
8,K014,2.182.209,41.456.335,BUS -180--,Torre Baró
9,K014,2.181.541,41.459.195,BUS -180--,Torre Baró
10,K014,2.183.669,41.463.001,BUS -76-97--,Vallbona
11,K014,2.161.836,41.441.564,BUS -182--,Horta
12,K014,2.182.311,41.436.646,BUS -11-132--,Porta
13,K015,2.133.911,41.398.929,NITBUS -N0--,Sant Gervasi - Galvany
14,K014,2.161.202,41.395.323,BUS -101--,la Dreta de l'Eixample
15,K014,2.163.791,41.416.399,BUS -114--,Can Baró
16,K014,2.181.759,41.416.842,BUS -H8--,Navas
17,K014,2.170.306,41.434.281,BUS -122--,el Turó de la Peira
18,K014,2.178.403,41.459.078,BUS -199-183--,Torre Baró
19,K014,2.132.025,41.427.525,BUS -112--,Sant Genís dels Agudells
20,K014,213.391,41.427.193,BUS -112--,Sant Genís dels Agudells
21,K014,2.109.132,41.402.029,BUS -130--,Sarrià
22,K014,2.108.506,41.403.187,BUS -130--,Sarrià
23,K014,2.108.599,41.403.876,BUS -130--,Sarrià
24,K014,2.154.709,41.401.078,BUS -114--,la Vila de Gràcia
25,K014,2.189.207,41.422.672,BUS -126-H8-V29--,la Sagrera
26,K014,2.139.221,41.364.034,BUS -125-V5--,la Marina de Port
27,K014,2.186.312,41.451.701,BUS -127-180-197--,la Trinitat Nova
28,K015,2.186.312,41.451.701,NITBUS -N1--,la Trinitat Nova
29,K014,2.166.315,41.416.581,BUS -114--,el Guinardó
30,K014,2.151.508,41.368.129,BUS -100--,el Poble-sec
31,K014,2.167.246,41.371.981,BUS -121--,el Poble-sec
32,K014,2.165.445,41.419.102,BUS -119--,el Guinardó
33,K014,2.127.029,41.397.107,BUS -V7--,Sarrià
34,K014,2.140.827,41.425.069,BUS -112--,Sant Genís dels Agudells
35,K014,2.200.909,414.137,BUS -H12--,Provençals del Poblenou
36,K014,2.175.389,41.373.103,BUS -21--,el Poble-sec
37,K014,2.163.885,41.440.232,BUS -122-185--,la Guineueta
38,K014,2.136.307,41.401.162,BUS -H6--,Sant Gervasi - Galvany
39,K014,2.132.016,41.429.052,BUS -112--,Sant Genís dels Agudells
40,K014,2.165.814,41.369.033,BUS -150--,el Poble-sec
41,K014,2.167.041,41.365.101,BUS -150--,el Poble-sec
42,K014,2.157.628,41.355.763,BUS -107--,el Poble-sec
43,K014,215.274,41.352.908,BUS -107--,el Poble-sec
44,K014,2.161.263,41.362.739,BUS -150--,el Poble-sec
45,K015,2.136.307,41.401.162,NITBUS -N0--,Sant Gervasi - Galvany
46,K014,2.168.308,41.404.908,BUS -47-H8--,el Camp d'en Grassot i Gràcia Nova
47,K015,2.168.308,41.404.908,NITBUS -N4--,el Camp d'en Grassot i Gràcia Nova
48,K014,2.159.943,41.438.552,BUS -185--,Horta
49,K015,2.166.821,41.441.979,NITBUS -N4-N6--,Canyelles
50,K015,219.543,4.140.526,NITBUS -N7--,el Poblenou
51,K014,2.098.994,41.428.844,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
