NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI,id
Tren a l'aeroport,2.189397,41.410259,Tren AEROPORT - CLOT-,el Clot,1
Ferrocarrils Generalitat (FGC),2.135427,41.397791,FGC - BONANOVA-,Sant Gervasi - Galvany,2
Ferrocarrils Generalitat (FGC),2.139248,41.405731,FGC - EL PUTXET-,el Putxet i el Farró,3
Metro i línies urbanes FGC,2.187234,41.409376,Clot (Aragó / Meridiana)-,el Clot,4
Metro i línies urbanes FGC,2.183681,41.430013,Fabra i Puig (Avinguda Meridiana)-,Sant Andreu,5
Metro i línies urbanes FGC,2.193942,41.448718,Trinitat Vella (Via Bàrcino)-,la Trinitat Vella,6
Metro i línies urbanes FGC,2.130845,41.352108,Fira (Botànica + Accés NORD | EST)-,,7
Metro i línies urbanes FGC,2.127161,41.341382,Parc Logístic (Av. Parc Logístic / C. Número Un)-,la Marina del Prat Vermell,8
Metro i línies urbanes FGC,2.073349,41.311895,Mas Blau (Avinguda de Les Garrigues / Alta Ribagorça)-,,9
Metro i línies urbanes FGC,2.071238,41.288221,Aeroport T1 (Aeroport T1)-,,10
Metro i línies urbanes FGC,2.137183,41.375321,Plaça de Sants (Olzinelles)-,Sants,11
Metro i línies urbanes FGC,2.187168,41.41554,Navas (Navas de Tolosa)-,Navas,12
Metro i línies urbanes FGC,2.184227,41.428993,Fabra i Puig (Concepción Arenal)-,Sant Andreu,13
Metro i línies urbanes FGC,2.215595,41.446807,Santa Rosa (Banús Baixa)-,,14
Metro i línies urbanes FGC,2.118251,41.360665,Can Tries | Gornal (Can Tries - Narcís de Monturiol)-,,15
Metro i línies urbanes FGC,2.174722,41.460923,Ciutat Meridiana (Avinguda Rasos de Peguera)-,Ciutat Meridiana,16
Metro i línies urbanes FGC,2.100181,41.364022,Rambla Just Oliveras (Renfe)-,,17
Metro i línies urbanes FGC,2.148318,41.375296,Espanya (Creu Coberta)-,Hostafrancs,18
Metro i línies urbanes FGC,2.176107,41.446956,Roquetes (Carrer de les Torres)-,les Roquetes,19
Metro i línies urbanes FGC,2.154397,41.423314,El Carmel (Llobregós)-,el Carmel,20
Metro i línies urbanes FGC,2.209874,41.420292,Besòs (Tram Besòs)-,el Besòs i el Maresme,21
Metro i línies urbanes FGC,2.208384,41.407801,Selva de Mar (Provençals)-,Diagonal Mar i el Front Marítim del Poblenou,22
Metro i línies urbanes FGC,2.158841,41.429721,Horta (Lisboa)-,Horta,23
Metro i línies urbanes FGC,2.179469,41.400374,Monumental (Marina)-,el Fort Pienc,24
Metro i línies urbanes FGC,2.133018,41.323636,ZAL | Riu Vell (Riu Llobregat)-,la Marina del Prat Vermell,25
Metro i línies urbanes FGC,2.177199,41.422578,Maragall (Ronda Guinardó - costat Muntanya)-,el Guinardó,26
Metro i línies urbanes FGC,2.110631,41.376202,Ernest Lluch (Avinguda de Xile)-,la Maternitat i Sant Ramon,27
Metro i línies urbanes FGC,2.176548,41.376975,Drassanes (La Rambla)-,el Raval,28
Metro i línies urbanes FGC,2.144578,41.430446,Montbau (Residència Sanitària / Llars Mundet)-,Montbau,29
Ferrocarrils Generalitat (FGC),2.125112,41.39896,FGC - SARRIÀ-,les Tres Torres,30
Ferrocarrils Generalitat (FGC),2.073187,41.444795,FGC - LA FLORESTA-,,31
Metro i línies urbanes FGC,2.162924,41.406053,Joanic (Escorial)-,el Camp d'en Grassot i Gràcia Nova,32
Metro i línies urbanes FGC,2.1866,41.421855,La Sagrera (Garcilaso)-,la Sagrera,33
Metro i línies urbanes FGC,2.144961,41.342872,Zona Franca (Carrer A (costat mar))-,la Marina del Prat Vermell,34
