"TYPE","LONGITUD","LATITUD","EQUIPAMENT","NOM_BARRI"
"K014","2.106711","41.402393","BUS -130--","Sarrià"
"K014","2.177905","41.450021","BUS -127--","les Roquetes"
"K014","2.174522","41.449141","BUS -127--","les Roquetes"
"K014","2.114803","41.377203","BUS -54-157-D20-H8--","la Maternitat i Sant Ramon"
"K014","2.103723","41.414101","BUS -128--","Vallvidrera, el Tibidabo i les Planes"
"K014","2.180171","41.445976","BUS -60-76-127--","la Prosperitat"
"K014","2.153442","41.375762","BUS -55--","Sant Antoni"
"K014","2.180552","41.456095","BUS -180--","Torre Baró"
"K014","2.182209","41.456335","BUS -180--","Torre Baró"
"K014","2.181541","41.459195","BUS -180--","Torre Baró"
"K014","2.183669","41.463001","BUS -76-97--","Vallbona"
"K014","2.161836","41.441564","BUS -182--","Horta"
"K014","2.182311","41.436646","BUS -11-132--","Porta"
"K015","2.133911","41.398929","NITBUS -N0--","Sant Gervasi - Galvany"
"K014","2.161202","41.395323","BUS -101--","la Dreta de l'Eixample"
"K014","2.163791","41.416399","BUS -114--","Can Baró"
"K014","2.181759","41.416842","BUS -H8--","Navas"
"K014","2.170306","41.434281","BUS -122--","el Turó de la Peira"
"K014","2.178403","41.459078","BUS -199-183--","Torre Baró"
"K014","2.132025","41.427525","BUS -112--","Sant Genís dels Agudells"
"K014","2.13391","41.427193","BUS -112--","Sant Genís dels Agudells"
"K014","2.109132","41.402029","BUS -130--","Sarrià"
"K014","2.108506","41.403187","BUS -130--","Sarrià"
"K014","2.108599","41.403876","BUS -130--","Sarrià"
"K014","2.154709","41.401078","BUS -114--","la Vila de Gràcia"
"K014","2.189207","41.422672","BUS -126-H8-V29--","la Sagrera"
"K014","2.139221","41.364034","BUS -125-V5--","la Marina de Port"
"K014","2.186312","41.451701","BUS -127-180-197--","la Trinitat Nova"
"K015","2.186312","41.451701","NITBUS -N1--","la Trinitat Nova"
"K014","2.166315","41.416581","BUS -114--","el Guinardó"
"K014","2.151508","41.368129","BUS -100--","el Poble-sec"
"K014","2.167246","41.371981","BUS -121--","el Poble-sec"
"K014","2.165445","41.419102","BUS -119--","el Guinardó"
"K014","2.127029","41.397107","BUS -V7--","Sarrià"
"K014","2.140827","41.425069","BUS -112--","Sant Genís dels Agudells"
"K014","2.200909","41.4137","BUS -H12--","Provençals del Poblenou"
"K014","2.175389","41.373103","BUS -21--","el Poble-sec"
"K014","2.163885","41.440232","BUS -122-185--","la Guineueta"
"K014","2.136307","41.401162","BUS -H6--","Sant Gervasi - Galvany"
"K014","2.132016","41.429052","BUS -112--","Sant Genís dels Agudells"
"K014","2.165814","41.369033","BUS -150--","el Poble-sec"
"K014","2.167041","41.365101","BUS -150--","el Poble-sec"
"K014","2.157628","41.355763","BUS -107--","el Poble-sec"
"K014","2.15274","41.352908","BUS -107--","el Poble-sec"
"K014","2.161263","41.362739","BUS -150--","el Poble-sec"
"K015","2.136307","41.401162","NITBUS -N0--","Sant Gervasi - Galvany"
"K014","2.168308","41.404908","BUS -47-H8--","el Camp d'en Grassot i Gràcia Nova"
"K015","2.168308","41.404908","NITBUS -N4--","el Camp d'en Grassot i Gràcia Nova"
"K014","2.159943","41.438552","BUS -185--","Horta"
"K015","2.166821","41.441979","NITBUS -N4-N6--","Canyelles"
"K015","2.19543","41.40526","NITBUS -N7--","el Poblenou"
